"","SITEVISITID","METHOD","OBS_YEAR","REGION","ANALYSIS_SCHEME","SEC_NAME","ISLAND","SITE","DATE_","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","DEPTH","HARD_CORAL","CCA","MA","SAND","OTHER_BENTHIC","nCounts","nReps","H","R","E","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","UNKNOWN","TotFish","Acanthuridae","Scaridae","Serranidae","Mullidae","Holocentridae","Carangidae","Lutjanidae","Lethrinidae","Carcharhinidae","Sphyraenidae","Sphyrnidae","Caesionidae","Chanidae","Anthiadinae","Scombridae","Myliobatidae","SPECIESRICHNESS","GEOREGION"
"1",1024,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00004",2007-04-30,"Forereef","Mid",19.30782,166.59378,17,NA,NA,NA,NA,0,6,3,1.61621538695227,21.6666666666667,0.528507868194403,67.3469951136157,21.6416192841272,157.178132193837,16.0899892179217,0,262.256735809502,56.3664224387056,117.894310203878,22.9829153004937,2.4888096254578,0.291108824886183,5.94012802781816,3.24906959140193,3.53395177024607,0,0,0,0,0,0,0,0,34,"WEST"
"2",1025,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00008",2007-04-30,"Forereef","Mid",19.31654,166.59824,15,NA,NA,NA,NA,0,6,3,1.96814068170369,22.8333333333333,0.631824449084467,14.4209295670164,1.73832444202049,66.0363860254265,15.3529026705489,0,97.5485427050123,14.1992021864899,39.2145734260609,10.2196190670868,4.84547259377313,1.62215625,0,2.96503103758256,0,0,0,0,0,0,0.91704375,0,0,34,"NORTHWEST"
"3",1026,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00012",2007-04-30,"Forereef","Mid",19.3254,166.61186,15,NA,NA,NA,NA,0,6,3,2.21171303240185,23.3333333333333,0.702493313040674,45.0978918346957,1.96178417994535,131.994449867538,56.4899917743319,0,235.544117656511,12.0109990372302,29.3747624969546,15.7103838645518,1.16894614813978,0,19.5597076914963,4.030720951413,6.85901205623648,0,0,0,0,0,0.215775,0,19.3315403346039,34.6666666666667,"NORTH"
"4",1027,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00006",2007-05-01,"Forereef","Mid",19.29172,166.60743,15,NA,NA,NA,NA,0,6,3,1.75305763113254,18.1666666666667,0.614694297671067,4.21535393555176,7.58927801051189,28.4699337759459,339.301532314709,0,379.576098036718,8.84737529814001,337.423870962174,0.997177211960588,6.26815029000521,7.73272658987383,0,1.6786350872365,0.328452192197042,0,0,0,0,0,0.080915625,0,0,27,"SOUTH"
"5",1028,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00009",2007-05-01,"Forereef","Mid",19.27116,166.65115,14,NA,NA,NA,NA,0,6,3,2.44824663779466,22,0.808484602100931,11.7327936753156,4.03641241038058,43.1592709054503,20.5114307770275,0,79.439907768174,4.75008108286146,30.2012117824311,7.03423492169737,2.17599610958814,10.2367439640833,1.83237650492643,3.11009030208373,1.24722825528479,0,0,0,0,0,0,0,0,35,"SOUTH"
"6",1029,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00013",2007-05-01,"Forereef","Mid",19.31576,166.64288,13,NA,NA,NA,NA,0,6,3,2.24598203742668,20.1666666666667,0.751823849038119,11.9517673852988,0.6948965,68.9994465334879,13.7852219679252,0,95.4313323867119,16.3485621839856,30.3617172561914,5.71825134638914,0.203792265932457,1.6947251376583,0,0.542427024826966,0.307356548564261,0,0,0,0,0,0,0,0,30,"NORTH"
"7",1030,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00001",2007-05-02,"Forereef","Mid",19.28015,166.62753,14,NA,NA,NA,NA,0,6,3,2.20990826745199,20.5,0.74357564881359,7.59371308198484,0.595198958333333,31.7191825262353,11.873941287654,0,51.7820358542075,5.49487375950324,16.0078592064481,4.40508667141638,2.5220130369327,1.98496660052857,1.57709105018492,0.3639453125,1.20473086230424,0,0,0,0,0,0.16183125,0,0,32.3333333333333,"SOUTH"
"8",1031,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00002",2007-05-02,"Forereef","Mid",19.28765,166.61303,14,NA,NA,NA,NA,0,6,3,1.97965286550991,14.6666666666667,0.749356970520011,3.23281243200096,1.41420162254563,24.9044876953436,11.6260471291552,0,41.1775488790454,13.1001599251236,11.2057882597214,0,0.296430364442018,2.22591059453855,2.02753710906899,0,0,0,0,0,0,0,0,0,0,23,"SOUTH"
"9",1032,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00014",2007-05-02,"Forereef","Mid",19.28729,166.65736,17,NA,NA,NA,NA,0,6,3,2.14017117431314,15,0.795026050524594,6.03337329271648,0.297120875,23.4695813072022,4.11994671503911,0,33.9200221899578,6.65222483593428,8.30949940888949,4.34932683087832,0,0,0.760154282129251,0,0.602365431152118,0,0,0,0,0,0,0,0,23,"EAST"
"10",1033,"BLT",2007,"PRIAs","RAMP_BASIC","Wake","Wake","WAK-00003",2007-05-03,"Forereef","Mid",19.29774,166.59816,16,NA,NA,NA,NA,0,6,3,2.45717376040433,21.8333333333333,0.810976661688327,30.2110030030084,7.45112248356045,48.5865693281336,42.3503032398729,0,128.598998054575,21.7807371638871,22.5715898912071,30.0565925877676,7.2401657688443,12.9004467258687,0,1.95184778317582,1.60035233709233,0,0,0,0,0,0,0,0,31.6666666666667,"SOUTH"
